Name,Currency,Top Category,Category,Updates,Comments,Rewards,Goal,Pledged,Backers,Start,End,Duration in Days,Facebook Friends,Facebook Shares,Creator - # Projects Created,Creator - # Projects Backed,# Videos,# Images,# Words (Description),# Words (Risks and Challenges),# FAQs,r1,r2,r3,f1,f2,f3,Result,Video
"Robert Cooper Music's New Album ""Wayward Pines""",USD,Music,Music,0,0,8,1800,15,1,2014/5/15,2014/6/14,30,540,13,1,0,0,0,156,140,0,0,0,0,0,0,0,0,1
REBIRTH,USD,Film & Video,Science Fiction,0,0,11,15644,15779,44,2014/5/7,2014/6/6,30,894,131,1,4,0,0,1266,114,0,480,1380,2008,6,7,8,1,1
The Arduino Compatible Educational Sensor Learning Board,CAD,Technology,Hardware,13,63,8,900,5796,180,2014/1/23,2014/2/22,30,0,4,4,1,2,5,1823,186,0,664.5,882.75,1100.25,22,31,39,1,1
Lionheir's New Album,AUD,Music,Music,1,0,8,1800,1995.12,36,2014/4/5,2014/5/5,30,0,132,1,0,0,0,302,139,0,86.4,230.4,230.4,2,3,3,1,1
Cody Russell and the Revolvers. Join the Revolvers Nation,USD,Music,Country & Folk,0,0,9,3000,75,3,2014/3/19,2014/5/18,60,342,54,1,1,0,0,244,158,0,50,60,60,1,2,2,0,0
HomeBeacons - Your Child. Home.,GBP,Technology,Technology,2,0,11,63500,177.8,6,2014/3/31,2014/4/30,30,0,31,1,1,0,3,1245,158,1,58.42,59.69,59.69,2,3,3,0,1
New John Russo Novel,USD,Publishing,Fiction,6,0,6,10000,40,3,2014/4/16,2014/5/16,30,262,128,1,10,0,1,331,347,3,0,0,0,0,0,0,0,1
The Curbside Crew,USD,Film & Video,Comedy,0,4,5,1500,1656,31,2014/5/21,2014/6/20,30,0,298,1,0,0,0,149,168,0,450,648,895,8,12,16,1,1
Out of Sync Cup - ZeroEmpires,GBP,Games,Video Games,0,0,3,152.4,401.32,16,2014/2/6,2014/2/28,21,0,17,1,0,0,0,196,48,0,281.94,321.31,349.25,7,11,13,1,1
"A Little This, A Little That",USD,Music,Pop,0,0,5,10000,765,16,2014/3/18,2014/4/22,35,1687,71,1,5,0,0,387,230,0,250,320,320,4,7,7,0,1
Scum Lord: Old School Action Adventure,USD,Games,Video Games,5,9,9,4000,1623,45,2014/1/28,2014/2/24,26,0,126,1,4,1,17,487,107,1,10,190,192,2,8,8,0,1
Fuel Seek The Reason across the nation!,USD,Music,Rock,0,0,9,2500,100,2,2013/12/24,2014/1/23,30,590,10,1,2,2,1,826,32,0,50,100,100,1,2,2,0,1
Among the Stars,USD,Games,Tabletop Games,17,1322,8,15000,190995,2594,2014/4/5,2014/5/5,30,0,214,14,2,4,20,1058,792,0,8258,15543,21607,136,284,392,1,1
Grown Childhood - Designer Toys,CAD,Art,Art,1,0,8,2025,552.75,15,2014/2/12,2014/3/14,29,216,104,2,0,0,10,642,119,0,210.75,274.5,387,5,7,11,0,1
The Mofo with the Guitar,USD,Music,Jazz,3,0,15,2000,5079,56,2014/2/3,2014/3/6,30,475,232,1,4,0,1,874,226,0,1385,1655,2274,15,16,20,1,1
Debut Music Video for IVANUNKNOWN,CAD,Film & Video,Short Film,10,0,7,2625,2640,42,2014/2/26,2014/3/28,29,1096,94,1,0,0,0,273,87,0,216.75,292.5,322.5,3,5,6,1,1
Unpaid,USD,Film & Video,Film & Video,0,0,7,4000,1600,21,2014/5/15,2014/6/15,30,770,141,1,4,0,0,205,177,0,155,155,205,5,5,7,0,1
GrowGrip Plant Holders,USD,Design,Product Design,7,9,7,5000,11173,222,2014/1/23,2014/2/23,30,141,131,2,3,0,5,751,95,3,1838,2968,3514,48,78,91,1,1
"'SlipPocket' is a tool, used by the above the knee amputee",USD,Design,Product Design,0,0,1,5000,25,1,2014/4/7,2014/5/7,30,0,1,1,2,0,5,907,198,1,0,0,0,0,0,0,0,0
HOMEBOY 3 -  A Hip Hop Inspired Urban Comedy,GBP,Film & Video,Film & Video,0,0,7,10160,11.43,1,2014/1/27,2014/2/26,30,0,11,1,0,0,4,822,118,0,0,0,0,0,0,0,0,1
Real-time Audio/Video Affects Android OS,USD,Technology,Open Software,3,0,8,20000,693,8,2013/12/21,2014/1/11,21,178,28,1,6,0,1,981,38,3,100,100,100,1,1,1,0,1
Fenwyr Cellars Meadery,USD,Food,Food,0,1,11,7000,1795,21,2014/2/25,2014/4/26,59,160,595,1,0,0,0,1141,66,0,130,180,180,3,4,4,0,1
A coffee table book of East London's historic local pubs,GBP,Publishing,Nonfiction,0,0,9,3810,847.09,18,2014/2/20,2014/3/31,39,124,17,1,2,0,13,299,204,0,274.32,280.67,280.67,5,6,7,0,0
STAND N SAND,USD,Design,Product Design,0,0,5,12500,360,11,2014/4/25,2014/5/25,30,250,47,1,1,0,7,671,123,0,186,186,186,5,5,5,0,1
Borrowed Time Club Screenplay,USD,Film & Video,Narrative Film,0,1,8,25000,3539,16,2014/5/22,2014/6/12,21,214,0,1,0,0,0,2561,613,0,0,0,0,0,0,0,0,1
A Peace of the World,USD,Film & Video,Film & Video,3,0,6,5000,5061,67,2014/4/5,2014/5/5,30,313,199,1,10,0,8,1640,133,0,925,1033,1494,7,9,11,1,0
Forge Iron Apparel,USD,Fashion,Apparel,2,4,12,10000,2512,42,2014/5/5,2014/5/26,21,42,270,1,0,0,20,1287,59,0,715,896,1064,14,20,24,0,1
Ozark Landscapes - Augmented Reality Time-Lapse Photo Book,USD,Photography,Photography,4,7,18,8750,11795,127,2014/1/15,2014/2/14,30,470,443,1,5,0,4,935,55,0,1451,1662,1753,5,6,8,1,1
Ramadan Battle Plan: The Ultimate Ramadan Planner,USD,Publishing,Publishing,6,0,12,6120,6168,116,2014/3/4,2014/3/19,14,776,1210,1,23,0,12,534,109,0,634,807,1120,33,39,47,1,1
Just Organic Tea - Loose Leaf Tea with a Conscience,USD,Food,Food,21,33,18,3250,11075,270,2014/4/6,2014/5/11,34,516,115,2,12,0,6,1730,106,1,1171,1617,1921,24,38,44,1,1
The Oswald Chronicles vol. 2,USD,Comics,Comics,5,12,16,3500,3524,59,2014/3/4,2014/4/18,44,4479,186,2,102,0,9,132,27,0,494,654,669,11,12,13,1,1
Horribly Ever After,USD,Publishing,Fiction,0,0,5,2500,335,7,2014/5/21,2014/6/20,30,2568,114,1,0,0,0,319,83,0,0,46,150,0,1,2,0,1
365 in Paradise (Documentary/Weekly Series/Novel),USD,Film & Video,Film & Video,0,0,9,5000,127,4,2014/2/27,2014/4/28,59,0,2,1,0,0,0,273,83,0,100,100,100,1,1,1,0,1
"Whalasaurus and Friends, A new Plush toy Line",USD,Crafts,Crafts,1,0,17,4000,646,23,2014/5/7,2014/6/6,30,300,50,1,0,0,24,855,115,0,461,461,461,16,16,16,0,1
Rainbowtown,USD,Theater,Plays,2,0,9,1500,1565,28,2014/5/5,2014/6/1,26,569,202,1,5,0,0,176,80,0,675,962,1005,10,16,17,1,1
HARD COUNTRY,USD,Film & Video,Documentary,0,0,8,20000,5355,5,2014/1/23,2014/2/22,30,0,21,1,0,0,0,281,190,0,5000,5020,5020,1,2,2,0,1
Paul Evans - Step Up Your Shoe Game,USD,Fashion,Fashion,0,0,21,30000,2426,10,2014/1/20,2014/2/19,30,657,24,1,0,0,73,2215,131,9,335,335,335,2,2,2,0,1
Ode to Order,USD,Art,Conceptual Art,0,2,5,400,112,3,2014/2/5,2014/3/15,37,0,5,2,4,0,5,656,114,0,10,10,12,1,1,1,0,0
Lost Detroit,USD,Film & Video,Film & Video,1,0,13,10000,10089,35,2014/4/17,2014/5/17,30,397,252,2,2,0,0,1278,377,0,114,189,244,3,7,9,1,1
The C77 Design Daily: A Printervention,USD,Publishing,Periodical,1,2,7,27000,8395,86,2014/5/5,2014/5/16,10,0,34,1,0,0,18,773,135,1,2653,3139,3764,14,27,45,0,1
RiffTrax will Riff GODZILLA & ANACONDA in Cinemas Nationwide,USD,Film & Video,Comedy,5,237,29,100000,265012,4887,2014/5/12,2014/6/11,30,0,12551,2,14,1,4,1223,214,2,130263,139480,144353,2711,2827,2903,1,1
The Orphans a zombie book for teen & adult,USD,Publishing,Fiction,0,0,11,1000,69,5,2014/3/27,2014/4/26,30,119,18,3,0,0,0,280,82,0,18,18,18,2,2,2,0,1
Ray's BBQ Huntington Park,USD,Food,Food,0,2,3,9000,120,9,2014/4/23,2014/5/23,30,1011,148,1,0,0,6,725,182,0,41,60,80,3,5,7,0,1
Ron Hall's Memphis: The Rock 'n Roll Years History Book,USD,Music,Rock,3,5,8,3000,3063,60,2014/3/10,2014/5/9,60,622,468,2,5,0,0,462,62,0,90,135,215,2,4,6,1,1
Preserving the Labor Movement: Kenneth Smallwood,USD,Film & Video,Documentary,2,3,9,5313,179,6,2014/4/29,2014/5/19,20,405,13,1,2,0,0,421,79,0,88,124,124,3,4,4,0,0
GETSOME: A naughty card game for normal people,USD,Games,Tabletop Games,18,116,22,20000,21097,358,2014/3/25,2014/5/12,47,0,546,3,33,0,18,1394,91,0,2258,3122,3572,53,76,90,1,1
Sweet & Spicey,USD,Food,Food,0,0,11,2500,10,1,2014/3/9,2014/4/8,29,0,0,1,0,0,8,655,83,0,10,10,10,1,1,1,0,1
Bringing People Together Over Coffee!,USD,Food,Food,0,0,10,38000,59,2,2014/2/27,2014/4/13,44,433,16,1,1,1,0,197,95,0,34,34,34,1,1,1,0,1
YO,USD,Games,Mobile Games,1,0,2,200,70,9,2014/4/1,2014/4/26,25,0,11,2,5,0,4,74,35,0,30,32,35,3,3,4,0,1
"Danger Alley Debut album ""American Made""",USD,Music,Rock,2,1,10,2000,110,5,2014/1/3,2014/2/2,30,297,0,1,0,2,3,1095,76,0,65,70,70,2,3,3,0,1
zazU needs YOU!,GBP,Theater,Theater,4,0,10,6350,6602.73,136,2014/3/19,2014/4/18,30,983,150,1,4,2,1,520,110,0,294.64,575.31,1037.59,6,10,15,1,1
"The Other Side, a short film by Akiko Izumitani",USD,Film & Video,Shorts,10,2,12,9999,10702,160,2014/4/3,2014/5/3,30,681,698,1,4,0,15,2298,69,1,850,1028,1153,14,17,18,1,1
APEXICON - Fantasy Puzzle Combat - Puzzle RPG,USD,Games,Video Games,14,78,10,5000,5638,235,2014/3/25,2014/4/24,30,62,87,2,4,0,25,1853,114,0,1809,2310,2687,101,136,147,1,1
An EP for EDC,USD,Music,Electronic Music,0,0,10,3701,25,1,2014/4/5,2014/4/20,15,105,8,2,1,0,0,105,56,0,0,0,0,0,0,0,0,1
Design the Lines,USD,Fashion,Fashion,4,0,4,7000,350,8,2014/3/25,2014/4/24,30,1369,45,1,1,0,0,282,178,0,0,0,0,0,0,0,0,1
The Magical Effect - A Documentary Film,USD,Film & Video,Documentary,1,0,7,6500,6651,51,2014/1/29,2014/2/28,30,495,220,1,10,0,2,829,115,0,80,80,80,4,4,4,1,1
FIRST Team 1891:  Build the Future.  Build a Robot!,USD,Technology,Hardware,3,0,9,1500,1505,19,2014/1/21,2014/2/16,25,0,54,1,0,0,0,440,132,0,774,1135,1155,5,8,11,1,1
Sean Paquet brings tunes to you - Commodore EP Album,USD,Music,Music,1,2,12,3000,3457,92,2014/2/19,2014/3/21,29,0,347,1,3,0,1,517,239,0,562,1220,1276,20,25,27,1,1
"""Year of the Creature""",USD,Publishing,Art Book,11,36,21,20000,32886,347,2013/12/23,2014/1/22,30,2225,879,1,16,0,27,625,160,0,3388,4032,5625,36,42,57,1,1
Storyteller Cards: Fantasy - Cards that inspire creativity.,USD,Games,Tabletop Games,17,145,11,13000,16640,604,2014/4/2,2014/4/24,22,417,540,4,68,0,26,1098,157,0,2957,3287,3528,135,153,165,1,1
[UN]KNOWN: A Fine Art Photography Exhibition in Sicily,USD,Photography,Photography,0,0,6,2000,2000,16,2014/2/21,2014/3/13,19,205,63,1,0,0,4,494,214,0,15,140,390,1,3,4,1,1
Lacuna Stories: A Site to 'Mend The Truth' of 9/11,USD,Technology,Open Software,1,1,5,25000,7535,22,2013/12/20,2014/1/19,30,189,123,1,2,0,6,864,125,3,225,790,1004,4,7,10,0,1
Matt will be your dancing proxy in NYC,USD,Art,Performance Art,0,0,1,1650,50,1,2014/5/29,2014/6/16,17,164,19,1,2,0,0,111,34,0,0,0,0,0,0,0,0,0
Flip! - Rummy with a Twist!,USD,Games,Tabletop Games,5,46,8,5000,5176,230,2014/1/18,2014/2/17,29,519,118,1,3,0,13,583,59,3,396,634,816,16,30,42,1,1
Funding for Chicago's 2014 ART FAIRS,USD,Art,Art,0,0,9,2000,350,7,2014/2/19,2014/3/21,29,82,4,2,0,0,9,273,48,0,0,25,25,0,1,1,0,1
Meme Trading Card Game,USD,Games,Tabletop Games,0,3,17,5000,686,15,2014/3/17,2014/5/16,60,0,114,2,0,0,18,824,199,0,90,95,245,2,3,4,0,1
RighteousGIRLS' debut album EDGE!,USD,Music,Classical Music,4,1,17,7500,9727,170,2013/12/21,2014/1/20,30,1976,935,1,15,0,0,391,109,0,1087,1415,1729,11,16,21,1,1
Easy Cal - iOS Calendar Application,USD,Technology,Apps,13,0,6,160,371,39,2014/4/30,2014/5/30,30,0,4,1,0,0,2,313,89,0,14,25,30,2,5,6,1,1
The Worst Generation,USD,Publishing,Fiction,0,0,13,4500,300,4,2014/3/14,2014/4/8,25,0,12,1,5,0,0,711,202,0,300,300,300,4,4,4,0,1
HeadQuarters: An Experimental Art Space/ Zine Press,USD,Art,Mixed Media,2,2,5,2400,3570,56,2014/2/5,2014/3/6,28,0,176,1,1,0,0,441,168,0,340,713,723,10,17,18,1,1
"""Barcel_ con hielo"" at Repertorio Espa__l, Building a Set",USD,Art,Performance Art,0,0,6,4000,4054,37,2014/4/30,2014/6/1,31,384,167,1,0,0,0,417,120,0,0,20,375,0,0,5,1,1
Ride Along Writing - Dead Britannia,USD,Publishing,Fiction,0,0,7,1500,623,12,2014/4/27,2014/5/27,30,195,15,1,1,0,2,703,168,0,92,149,169,4,6,7,0,1
"""Hope Resurrected"" _ An inspiring fantasy fiction novel.",USD,Publishing,Fiction,0,0,1,5000,312,7,2014/3/13,2014/4/11,28,0,384,1,0,0,0,1126,74,0,40,200,201,0,2,2,0,1
Castle Defenders,USD,Games,Video Games,0,0,2,12000,10,1,2013/12/16,2014/1/10,25,805,1,2,0,0,1,57,30,0,0,0,0,0,0,0,0,0
Pacoima part 2,USD,Publishing,Fiction,1,0,4,990,20,1,2014/4/4,2014/4/26,22,94,0,1,0,0,0,112,18,0,0,16,20,0,0,1,0,1
Watermelon Sugar West Coast Release TOUR,USD,Music,Rock,0,1,13,1500,1541,46,2014/4/22,2014/5/8,15,819,390,1,0,0,0,327,43,3,268,563,623,8,20,22,1,1
Ulysses Wises Up: A More Than a Story Book,USD,Publishing,Children's Book,0,1,6,6000,1,1,2014/5/7,2014/6/6,30,39,135,1,0,0,6,737,108,0,1,1,1,1,1,1,0,1
"Carved, engraved & painted Leather wallets & card hodors :D",GBP,Crafts,Crafts,2,2,7,127,496.57,8,2014/1/29,2014/2/28,30,80,3,2,0,0,15,437,23,0,246.38,304.8,304.8,3,4,4,1,0
Billy Wright New Album,USD,Music,Rock,0,0,7,6000,410,9,2014/4/1,2014/5/1,30,0,208,2,0,0,0,266,77,0,35,130,210,2,2,4,0,1
Come Out To Play,GBP,Comics,Comics,1,3,5,1143,3831.59,116,2014/2/13,2014/3/18,32,0,227,1,3,0,11,1235,53,0,1151.89,1470.66,1784.35,33,41,49,1,1
Murder Capital by Rob Woods,GBP,Film & Video,Shorts,2,0,10,635,127,1,2014/5/12,2014/6/11,30,308,0,2,0,0,0,269,74,0,0,0,0,0,0,0,0,1
the really big camera project,CAD,Photography,Photography,0,0,7,22500,270,5,2014/3/31,2014/4/30,30,134,33,1,0,0,3,508,146,0,0,0,90,0,0,2,0,1
RAMBONE: It came from the Sky,USD,Film & Video,Film & Video,0,0,6,6000,232,10,2014/2/19,2014/3/21,29,518,165,1,3,0,0,98,86,0,150,151,151,4,5,5,0,1
Wolves Leather,USD,Crafts,Crafts,19,15,15,2500,3338,72,2014/4/22,2014/5/22,30,709,312,1,0,0,17,770,43,2,311,738,863,5,12,15,1,1
The Lord of the Ice Garden - strategic board game,USD,Games,Tabletop Games,24,201,12,10000,21971,228,2014/5/13,2014/6/7,25,0,74,1,1,3,11,966,133,0,14993,15978,16300,176,189,193,1,1
"CD: Songs by Elsa Respighi, Lori Laitman, and Modesta Bor",USD,Music,Classical Music,0,0,5,2500,2560,53,2014/2/25,2014/3/27,29,696,435,1,0,0,0,261,65,0,670,900,1015,15,19,21,1,1
Soul Entendre: LAUNCH COLLECTION | Streetwear for the Soul,USD,Fashion,Apparel,2,0,11,5000,6963,81,2014/4/28,2014/5/26,27,1328,249,1,0,0,29,1061,283,4,1494,1936,2444,16,22,25,1,1
Penultimate Quest 2,USD,Comics,Graphic Novels,4,12,7,4000,4903,180,2014/5/2,2014/6/1,30,382,101,1,3,0,6,307,92,0,1595,1848,2126,54,63,75,1,1
World's first faucet extender & soap dispenser for children!,USD,Design,Product Design,6,4,8,20000,20285,171,2014/4/19,2014/5/19,30,0,443,1,2,0,21,927,273,4,1932,3130,3690,12,16,22,1,1
Artist Jay Casey Exhibition at the AD Gallery,USD,Art,Painting,0,0,5,5000,5101,22,2014/4/10,2014/5/10,30,197,0,1,0,0,0,214,94,0,426,589,1459,4,4,5,1,1
ARKHAM,USD,Film & Video,Horror,17,3,10,1000,1567,43,2014/5/6,2014/5/26,20,146,40,4,6,0,10,987,122,3,250,251,301,7,9,11,1,1
Build a New Home for Beyond Our Years,USD,Art,Art,0,0,18,50000,13657,95,2014/3/3,2014/4/2,29,0,452,1,0,0,16,513,81,0,1723,2655,5250,25,37,42,0,1
Pikes Peak: An Intimate Portrait,USD,Photography,Photography,0,0,13,1450,1202,5,2014/4/10,2014/5/10,30,0,13,1,0,0,6,674,205,0,9,30,55,0,1,2,0,0
Strongest Hearts Documentary Series on Vegan Athletes,USD,Food,Vegan,5,3,24,7500,11001,177,2014/5/27,2014/6/25,28,1035,3081,2,9,0,3,806,94,3,670,2184,2420,12,27,36,1,1
"Bowls, Baskets, Blankets and Boats - An Art eBook that Knots",AUD,Publishing,Art Book,4,0,1,720,723.6,24,2014/3/19,2014/4/18,30,265,63,1,3,0,1,268,74,0,7.2,7.2,7.2,1,1,1,1,1
Am I Perfect?,AUD,Film & Video,Documentary,0,0,4,1440,76.32,4,2014/1/27,2014/3/2,34,640,0,2,7,0,0,240,49,0,0,7.92,26.64,0,0,1,0,1
Conjure Trading Card Game - Updated Listing,AUD,Games,Tabletop Games,9,8,17,1440,6040.8,61,2014/3/15,2014/4/4,20,190,113,2,0,2,7,2158,288,0,1247.04,1323.36,1730.88,12,15,17,1,1
"SunStream Earth, Clean Energy.",USD,Technology,Technology,0,2,7,50000,1816,24,2014/2/27,2014/3/29,29,0,23,1,0,0,0,218,102,0,135,160,165,5,6,7,0,1
Ninja-Dex Ninja Profiler,USD,Technology,Technology,0,0,7,1600,20,1,2014/2/11,2014/3/23,39,225,13,1,0,0,3,381,35,0,20,20,20,1,1,1,0,0
THE AGENTS RETURN - The Double-Edged Cards game is back!,USD,Games,Tabletop Games,9,3004,15,30000,160336,3494,2014/4/21,2014/5/22,30,358,596,2,47,0,24,1267,128,12,43800,51081,67276,1075,1228,1583,1,1
Songs of Icarus-Hemingway meets Monk @ the Heartbreak Hotel.,USD,Publishing,Fiction,0,0,9,1800,530,13,2014/3/13,2014/4/12,30,87,35,1,2,2,0,406,40,0,83,215,235,3,6,7,0,1
By Our Rules (Working Title),USD,Film & Video,Documentary,0,0,5,10000,220,6,2014/4/18,2014/6/17,60,0,10,2,1,0,0,215,57,0,70,70,195,3,3,5,0,0
"Good Evening, I'm Robert Service",CAD,Theater,Plays,0,1,5,7500,213.75,5,2014/5/20,2014/6/23,33,314,1,1,1,0,0,212,213,0,101.25,101.25,101.25,3,3,3,0,0
DOUBLE FEATURE: Outstanding fit and high performance shirts,USD,Fashion,Fashion,5,1,10,7000,1492,16,2014/3/22,2014/5/10,49,508,313,1,9,0,24,359,132,10,0,16,138,0,0,2,0,1
Dirty Rotten Apples - Card game,USD,Games,Tabletop Games,1,1,5,4000,165,6,2014/4/2,2014/6/1,60,0,5,1,0,0,0,206,16,0,1,1,1,1,1,0,0,1
Pet Stones memorial markers for the animals in our families,USD,Crafts,Crafts,0,0,3,25000,55,2,2014/2/14,2014/4/15,59,210,2,1,0,0,0,201,78,0,0,50,50,0,1,1,0,0
Women in Harmony Performs at Sister Singers Network Festival,USD,Music,Music,2,2,7,5000,5660,130,2014/1/8,2014/2/7,30,0,25,1,0,0,5,777,144,0,432,684,927,7,14,18,1,1
Design vs Cancer: Designers Unite,USD,Fashion,Fashion,2,0,25,10000,12208,249,2013/12/17,2014/1/16,30,442,910,1,3,1,16,1327,33,2,1705,1859,2596,33,37,50,1,0
LAUNCH: An Original Short Film,USD,Film & Video,Short Film,13,0,16,10000,10352,125,2014/2/9,2014/3/6,25,540,302,1,4,0,15,1086,94,0,566,1456,1767,6,17,24,1,1
"An album of 10 ""jazz art songs"" by Matthew John Mortimer",USD,Music,Jazz,0,0,1,2000,120,2,2014/3/13,2014/5/12,60,2467,2,2,0,0,0,95,63,0,0,0,0,0,0,0,0,0
Camper Shell Life,USD,Photography,Photography,1,0,8,1500,325,8,2014/2/13,2014/3/15,29,205,23,1,0,0,4,299,55,0,9,41,50,1,2,3,0,1
Dark Prayers Cult Clothing,USD,Design,Design,0,4,7,6500,479,11,2014/1/17,2014/3/3,45,301,1,1,0,0,19,418,49,0,47,59,109,2,3,4,0,0
Wonderland Cakes Dessert Truck,USD,Food,Food,1,0,6,7000,637,19,2013/12/24,2014/1/23,30,97,58,1,0,0,8,529,177,0,150,305,316,1,3,5,0,1
The Runaways present 'I Saw The Best Minds of My Generation',USD,Theater,Theater,7,3,13,4650,5170,97,2014/2/11,2014/3/13,29,0,1175,2,2,1,5,365,422,0,1976,2028,2040,28,31,32,1,1
"Red, White, & Screwed - A Student Short",USD,Film & Video,Film & Video,3,2,6,4500,5833,45,2014/4/15,2014/5/15,30,1372,203,1,0,0,15,560,72,0,1546,1823,1923,10,16,17,1,1
"Allant Trio: ""Give Me Phoenix Wings to Fly"" Music Video",USD,Music,Classical Music,0,2,6,4000,6087,62,2014/5/14,2014/6/4,20,913,95,1,1,0,0,224,105,0,3073,3682,4386,20,25,29,1,1
Release the Skyline (Single + Stretch Goals),USD,Music,Rock,0,0,8,200,2,1,2014/1/3,2014/2/2,30,224,2,4,4,0,0,247,242,0,0,0,0,0,0,0,0,1
AS ORIGENS DA CAPOEIRA ANGOLA,USD,Film & Video,Documentary,0,0,3,27100,200,5,2014/3/12,2014/5/1,50,447,24,1,0,0,9,452,170,0,0,0,137,0,0,2,0,1
"Help fund ""Songs of Comfort & Peace"" a CD for those grieving",USD,Music,Music,9,8,2,3000,3065,79,2014/3/21,2014/4/20,30,607,617,1,0,0,0,585,95,0,530,805,934,13,16,18,1,1
HIBBITY DIBBITY TOUR BUS FOUNDATION,USD,Music,Music,0,1,21,6000,7774,107,2014/4/17,2014/5/17,30,375,583,1,1,0,0,354,92,0,2052,2213,2274,12,14,16,1,1
Evo Theatre graduate showcase performance.,GBP,Art,Performance Art,0,0,1,127,7.62,2,2014/2/23,2014/3/25,29,1398,40,1,0,0,0,112,51,0,0,0,0,0,0,0,0,0
Discover Shadyside Craft Cider,USD,Food,Food,0,0,8,25000,2910,16,2014/3/20,2014/4/23,33,71,73,1,0,0,0,618,83,0,300,375,625,2,5,6,0,1
"Grief: A Life in 5 Stages, vol 2",USD,Publishing,Literary Journals,0,0,5,500,715,24,2014/4/24,2014/5/24,30,0,110,1,0,0,0,188,61,0,50,50,50,2,2,2,1,0
First Flight---plus exclusive kickstarter reward CD!,USD,Music,Jazz,0,1,7,6500,6675,64,2014/4/30,2014/6/1,31,0,309,1,0,0,0,515,114,0,1133,1408,1458,13,16,17,1,1
Simple System Table-Top Roleplaying Game System,USD,Games,Tabletop Games,10,231,8,1500,27810,547,2014/4/23,2014/5/23,30,0,324,1,4,8,32,2596,108,2,961,1913,1921,21,43,46,1,1
"On Paper Productions Presents ""Al"" a Short Film",GBP,Film & Video,Short Film,0,0,13,3175,3176.27,59,2014/1/7,2014/1/21,14,0,308,1,0,0,5,751,128,0,499.11,958.85,1117.6,10,19,22,1,1
Bru Gear stainless steel brewing kettles & fermenters,USD,Design,Product Design,11,17,43,50000,112396,203,2014/1/17,2014/2/16,30,691,292,1,5,0,9,942,150,7,6284,7313,7426,10,13,14,1,1
Kendra Emery's debut album,USD,Music,Music,1,0,8,5000,5440,137,2014/3/7,2014/4/7,30,904,260,1,2,0,0,251,71,0,850,990,1045,19,22,24,1,1
RASCALS WITH ALTITUDE,USD,Dance,Dance,7,0,9,3000,3501,27,2014/3/20,2014/4/17,28,719,320,3,10,0,0,939,80,0,545,1045,1105,7,8,10,1,1
99 Ways To Die - A coloring book for ADULTS,USD,Publishing,Art Book,6,15,11,8000,8954,258,2014/2/13,2014/3/17,31,295,510,2,37,0,7,1269,133,0,1932,2262,2919,68,79,96,1,1
TENNESSEE JET: The New Record,USD,Music,Music,10,0,20,12500,14275,170,2014/2/16,2014/3/18,29,1861,1232,1,2,0,1,10,15,1,1423,1721,1721,18,27,27,1,0
Snap! sometimes you have to go back so you can get out,USD,Theater,Theater,5,1,7,3000,5021,115,2014/4/30,2014/5/27,27,0,251,1,0,0,0,193,66,0,1882,2122,2460,34,39,46,1,1
Professional Live Broadcast for Parkour (NAPC),CAD,Film & Video,Action,1,5,3,2400,2449.5,81,2014/5/2,2014/5/16,14,689,1429,1,0,0,0,299,119,0,322.5,461.25,573.75,6,11,14,1,1
Dwarf Fantasy Football Team miniatures,USD,Games,Tabletop Games,11,24,11,1000,1525,26,2014/4/17,2014/5/10,22,3265,90,5,13,0,14,243,52,0,255,323,383,5,6,7,1,1
Jerry Allen: The Lovin' Kind,USD,Music,Country & Folk,0,0,7,2500,140,5,2014/5/18,2014/6/17,30,0,70,1,0,0,0,384,37,0,50,50,50,2,2,2,0,1
Daughters Of Destiny,USD,Publishing,Fiction,0,0,7,5000,100,5,2014/2/10,2014/3/12,29,0,43,2,1,0,0,746,244,0,100,100,100,5,5,5,0,1
"""It's Like the Music From That Russian Game, Only Better.""",USD,Music,Chiptune,3,3,10,300,323,23,2014/4/24,2014/5/8,14,100,26,1,9,0,6,759,70,0,193,239,240,10,14,14,1,1
Pocket Panda (full length album),USD,Music,Indie Rock,1,0,14,6000,7226,116,2014/3/3,2014/3/25,21,0,282,1,4,0,3,441,97,0,1611,2080,3029,16,28,37,1,1
Exhibition: Portraits by Loz Tronic,GBP,Art,Painting,0,0,3,635,643.89,19,2014/2/5,2014/3/7,30,1565,208,2,0,0,0,134,118,0,635,635,635,18,18,18,1,0
Black Diamond,USD,Film & Video,Film & Video,2,0,7,2500,1115,12,2014/3/9,2014/4/9,30,837,51,1,0,0,1,143,102,0,25,25,25,1,1,1,0,1
"""Samo Pravo!"" Mannakin Theater and Dance on Tour in Serbia",USD,Dance,Dance,0,2,8,7000,4155,30,2014/3/1,2014/3/24,22,868,305,1,1,0,3,721,326,0,247,400,915,2,6,9,0,1
Gone - LINKED DANCE THEATRE,USD,Dance,Dance,0,0,6,3000,3021,47,2014/2/4,2014/3/6,30,0,88,1,1,0,0,137,116,0,470,605,725,5,9,11,1,1
"Dungeon Crawl: a fantasy-themed, card-based board game",USD,Games,Tabletop Games,9,31,20,70000,4232,84,2014/4/21,2014/5/26,35,0,101,1,0,0,6,1399,246,1,2276,3313,3348,48,65,66,0,1
Smith & The Honey Badgers press their first single on vinyl,GBP,Music,Music,5,0,6,1143,1884.68,88,2014/4/21,2014/5/30,38,0,305,1,0,0,0,318,170,3,307.34,603.25,615.95,10,26,27,1,1
