Name,Currency,Top Category,Category,Updates,Comments,Rewards,Goal,Pledged,Backers,Start,End,Duration in Days,Facebook Friends,Facebook Shares,Creator - # Projects Created,Creator - # Projects Backed,# Videos,# Images,# Words (Description),# Words (Risks and Challenges),# FAQs,r1,r2,r3,f1,f2,f3,Result,Video
Canvas Watch Company : Community-driven Watch Design,USD,Design,Product Design,6,1,7,40000,44005,152,2014/4/4,2014/5/4,30,316,346,1,21,0,17,594,159,2,13444,15731,19824,52,63,70,1,1
"BigToeStand, 360_ keyring stand for iPhones",GBP,Design,Product Design,0,8,6,13970,234.95,38,2014/3/18,2014/4/22,35,432,97,1,1,0,14,767,100,1,62.23,76.2,81.28,8,11,12,0,1
A Comic Book to Fight Human Trafficking in Nepal: __HAMELI_,USD,Comics,Comics,3,3,7,2000,3530,69,2014/2/24,2014/3/16,19,0,422,2,5,0,11,971,133,0,844,1102,1102,20,31,31,1,1
Spiceventure Food Truck,USD,Food,Food,0,2,7,10000,10404,69,2014/1/17,2014/3/9,50,186,69,1,1,1,11,408,59,0,849,1240,1340,3,6,7,1,1
Scare your Abs into shape with the Ab Monster!,USD,Design,Product Design,9,31,5,3500,7832,160,2014/5/1,2014/5/31,30,104,116,2,5,0,13,1102,236,0,2416,3272,3883,52,71,84,1,1
THE LEG: A Graphic Novel With a Kick,USD,Comics,Graphic Novels,5,14,7,10000,12897,273,2014/5/5,2014/6/4,30,414,572,1,8,0,11,961,104,0,2888,3570,5054,59,82,96,1,1
Hunger: A horror short about a cannibal family,GBP,Film & Video,Short Film,5,0,7,1270,1316.99,37,2014/2/14,2014/3/16,29,169,306,1,0,0,4,915,189,0,129.54,157.48,180.34,7,9,11,1,1
Hey! I'm Not Ok With That!,USD,Publishing,Children's Book,0,2,3,1200,1210,20,2014/3/26,2014/4/25,30,103,198,3,4,0,0,105,55,0,90,190,190,2,2,3,1,1
ForTheSeekers Lenormand - The Game of Hope,USD,Games,Tabletop Games,3,6,5,8000,3237,70,2014/2/2,2014/3/10,35,142,128,4,6,0,12,619,84,1,827,1063,1313,20,25,31,0,1
Katie's Custom Cases,GBP,Design,Product Design,0,0,1,2540,1.27,1,2014/4/23,2014/5/23,30,155,0,1,0,0,2,217,43,0,0,0,0,0,0,0,0,0
Grail to the Thief: An Interactive Audio Adventure,USD,Games,Video Games,3,14,11,8000,10021,248,2014/4/4,2014/5/4,30,254,465,1,0,0,12,1777,91,1,443,1111,1248,15,25,31,1,1
NYPC's North American (+ Colombia!) Tour May 2014 - Part 2,GBP,Music,Electronic Music,0,1,11,635,957.58,15,2014/4/3,2014/4/14,11,0,113,2,0,0,0,259,40,0,0,68.58,138.43,0,0,3,1,1
Summer Production Camps (Peter Pan Jr.),USD,Theater,Theater,1,0,12,3000,4027,44,2014/5/24,2014/6/23,30,0,112,1,0,0,5,728,177,0,324,465,490,7,11,12,1,1
'Released' Documentary Distribution Campaign,USD,Film & Video,Documentary,0,0,8,27000,2575,19,2014/1/24,2014/3/5,40,374,68,1,0,0,1,294,149,0,591,657,1354,4,7,8,0,1
K_ingston Graphic Design Show 2014,GBP,Design,Graphic Design,0,0,1,2540,3837.94,49,2014/4/11,2014/5/5,24,0,112,1,0,0,0,122,46,0,298.45,389.89,617.22,8,11,15,1,0
BARBARY COAST: Red Light New Music's debut album,USD,Music,Music,0,0,7,7000,7435,70,2013/12/31,2014/2/3,34,0,2,1,1,0,0,466,252,0,0,33,175,0,0,5,1,1
Fund JayHdGaming's internet to begin twitch campaign!,GBP,Games,Live Games,0,0,4,2540,6.35,1,2014/4/29,2014/5/11,12,0,51,1,0,0,0,212,113,0,6.35,6.35,6.35,1,1,1,0,0
"The Architect, making dance filming sexy!!!",GBP,Dance,Performances,16,3,5,3810,3898.9,34,2014/6/5,2014/6/19,14,210,199,1,0,0,0,248,35,0,453.39,1499.87,1756.41,3,8,16,1,0
Luck of the Leprechauns,CAD,Games,Tabletop Games,0,0,4,7500,18.75,1,2014/5/19,2014/6/18,30,0,1,1,0,0,13,978,75,0,0,18.75,18.75,0,1,1,0,0
ATZ Final Fade Out in Spanish (en espa__l),USD,Games,Tabletop Games,2,3,2,1350,231,8,2014/1/6,2014/2/5,30,0,8,4,0,0,0,462,190,0,160,210,210,5,6,6,0,0
Super Daryl Deluxe,USD,Games,Video Games,12,0,11,7000,7861,73,2014/5/15,2014/6/14,30,0,313,1,0,1,27,2417,288,0,2359,2378,2445,38,40,42,1,1
LOOA,EUR,Fashion,Accessories,0,1,1,9040,82.49,3,2014/5/21,2014/6/20,30,0,0,1,0,0,0,253,80,0,0,0,0,0,0,0,0,0
